model_id,chunk_tokens,sequence_length,phase,mode,family,chunk_index,token_index,layer_index,atom_index,trace_interval_index,start_time_ms,end_time_ms,duration_ms
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,8,2,14,106695378.55976786,106695378.70824786,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,8,3,14,106695378.70824786,106695378.85672785,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,8,4,14,106695378.85672785,106695379.00520785,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,8,5,14,106695379.00520785,106695379.15368785,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,9,0,14,106695379.15368785,106695379.30216785,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,9,1,14,106695379.30216785,106695379.45064785,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,9,2,14,106695379.45064785,106695379.59912784,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,9,3,15,106695379.690165,106695379.838645,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,9,4,15,106695379.838645,106695379.987125,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,9,5,15,106695379.987125,106695380.13560499,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,10,0,15,106695380.13560499,106695380.28408499,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,10,1,15,106695380.28408499,106695380.43256499,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,10,2,15,106695380.43256499,106695380.58104499,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,10,3,15,106695380.58104499,106695380.72952498,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,10,4,15,106695380.72952498,106695380.87800498,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,10,5,15,106695380.87800498,106695381.02648498,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,11,0,15,106695381.02648498,106695381.17496498,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,11,1,15,106695381.17496498,106695381.32344498,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,11,2,15,106695381.32344498,106695381.47192498,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,11,3,16,106695381.503479,106695381.651959,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,11,4,16,106695381.651959,106695381.800439,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,11,5,16,106695381.800439,106695381.948919,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,0,0,16,106695381.948919,106695382.097399,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,0,1,16,106695382.097399,106695382.245879,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,0,2,16,106695382.245879,106695382.394359,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,0,3,16,106695382.394359,106695382.54283899,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,0,4,16,106695382.54283899,106695382.69131899,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,0,5,16,106695382.69131899,106695382.83979899,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,1,0,16,106695382.83979899,106695382.98827899,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,1,1,17,106695383.02596,106695383.17444,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,1,2,17,106695383.17444,106695383.32292,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,1,3,17,106695383.32292,106695383.4714,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,1,4,17,106695383.4714,106695383.61987999,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,1,5,17,106695383.61987999,106695383.76835999,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,2,0,17,106695383.76835999,106695383.91683999,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,2,1,17,106695383.91683999,106695384.06531999,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,2,2,17,106695384.06531999,106695384.21379998,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,2,3,17,106695384.21379998,106695384.36227998,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,11.0,,2,4,17,106695384.36227998,106695384.51075998,0.14847999811172485
